#type_of_cancer=ductal carcinoma
#cancer_study_identifier=dcis_gsi_2019
#name=Ductal Carcinoma in Situ (TEST)
#short_name=TEST
#description=TEST Samples sequenced and analyzed at OICR
#output_folder=/.mounts/labs/gsiprojects/gsi/cBioGSI/data/project_TEST/cbio_DCIS/
TYPE	FILE_NAME
MRNA_EXPRESSION	expression.txt
MRNA_EXPRESSION_ZSCORES	expression_zscores.txt
MAF	mutation.txt
SEG	segmented.txt
SAMPLE_ATTRIBUTES	sample.txt
PATIENT_ATTRIBUTES	patient.txt
CANCER_TYPE	cancer_type.txt
DISCRETE_COPY_NUMBER	discrete.txt
CONTINUOUS_COPY_NUMBER	continuous.txt
CASE_LIST	case_set.txt
